image_path,design_group
data/training/custom_1500/images/boat/boat_0001.jpeg,boat
data/training/custom_1500/images/boat/boat_0002.jpeg,boat
data/training/custom_1500/images/boat/boat_0003.jpeg,boat
data/training/custom_1500/images/boat/boat_0004.jpeg,boat
data/training/custom_1500/images/boat/boat_0005.jpeg,boat
data/training/custom_1500/images/boat/boat_0006.jpeg,boat
data/training/custom_1500/images/boat/boat_0007.jpeg,boat
data/training/custom_1500/images/boat/boat_0008.jpeg,boat
data/training/custom_1500/images/boat/boat_0009.jpeg,boat
data/training/custom_1500/images/boat/boat_0010.jpeg,boat
data/training/custom_1500/images/boat/boat_0011.jpeg,boat
data/training/custom_1500/images/boat/boat_0012.jpeg,boat
data/training/custom_1500/images/boat/boat_0013.jpeg,boat
data/training/custom_1500/images/boat/boat_0014.jpeg,boat
data/training/custom_1500/images/boat/boat_0015.jpeg,boat
data/training/custom_1500/images/boat/boat_0016.jpeg,boat
data/training/custom_1500/images/boat/boat_0017.jpeg,boat
data/training/custom_1500/images/boat/boat_0018.jpeg,boat
data/training/custom_1500/images/boat/boat_0019.jpeg,boat
data/training/custom_1500/images/boat/boat_0020.jpeg,boat
data/training/custom_1500/images/boat/boat_0021.jpeg,boat
data/training/custom_1500/images/boat/boat_0022.jpeg,boat
data/training/custom_1500/images/boat/boat_0023.jpeg,boat
data/training/custom_1500/images/boat/boat_0024.jpeg,boat
data/training/custom_1500/images/boat/boat_0025.jpeg,boat
data/training/custom_1500/images/boat/boat_0026.jpeg,boat
data/training/custom_1500/images/boat/boat_0027.jpeg,boat
data/training/custom_1500/images/boat/boat_0028.jpeg,boat
data/training/custom_1500/images/boat/boat_0029.jpeg,boat
data/training/custom_1500/images/boat/boat_0030.jpeg,boat
data/training/custom_1500/images/boat/boat_0031.jpeg,boat
data/training/custom_1500/images/boat/boat_0032.jpeg,boat
data/training/custom_1500/images/boat/boat_0033.jpeg,boat
data/training/custom_1500/images/boat/boat_0034.jpeg,boat
data/training/custom_1500/images/boat/boat_0035.jpeg,boat
data/training/custom_1500/images/boat/boat_0036.jpeg,boat
data/training/custom_1500/images/boat/boat_0037.jpeg,boat
data/training/custom_1500/images/boat/boat_0038.jpeg,boat
data/training/custom_1500/images/boat/boat_0039.jpeg,boat
data/training/custom_1500/images/boat/boat_0040.jpeg,boat
data/training/custom_1500/images/boat/boat_0041.jpeg,boat
data/training/custom_1500/images/boat/boat_0042.jpeg,boat
data/training/custom_1500/images/boat/boat_0043.jpeg,boat
data/training/custom_1500/images/boat/boat_0044.jpeg,boat
data/training/custom_1500/images/boat/boat_0045.jpeg,boat
data/training/custom_1500/images/boat/boat_0046.jpeg,boat
data/training/custom_1500/images/boat/boat_0047.jpeg,boat
data/training/custom_1500/images/boat/boat_0048.jpeg,boat
data/training/custom_1500/images/boat/boat_0049.jpeg,boat
data/training/custom_1500/images/boat/boat_0050.jpeg,boat
data/training/custom_1500/images/boat/boat_0051.jpeg,boat
data/training/custom_1500/images/boat/boat_0052.jpeg,boat
data/training/custom_1500/images/boat/boat_0053.jpeg,boat
data/training/custom_1500/images/boat/boat_0054.jpeg,boat
data/training/custom_1500/images/boat/boat_0055.jpeg,boat
data/training/custom_1500/images/boat/boat_0056.jpeg,boat
data/training/custom_1500/images/boat/boat_0057.jpeg,boat
data/training/custom_1500/images/boat/boat_0058.jpeg,boat
data/training/custom_1500/images/boat/boat_0059.jpeg,boat
data/training/custom_1500/images/boat/boat_0060.jpeg,boat
data/training/custom_1500/images/boat/boat_0061.jpeg,boat
data/training/custom_1500/images/boat/boat_0062.jpeg,boat
data/training/custom_1500/images/boat/boat_0063.jpeg,boat
data/training/custom_1500/images/boat/boat_0064.jpeg,boat
data/training/custom_1500/images/boat/boat_0065.jpeg,boat
data/training/custom_1500/images/boat/boat_0066.jpeg,boat
data/training/custom_1500/images/boat/boat_0067.jpeg,boat
data/training/custom_1500/images/boat/boat_0068.jpeg,boat
